,id,nombre,departamento_id
148,100084.0,LONDRES,10035.0
149,100126.0,CAPAYAN,10042.0
150,100133.0,HUILLAPIMA,10042.0
151,100140.0,SAN FERNANDO DEL VALLE DE CATAMARCA,10049.0
152,100147.0,EL ALTO,10056.0
153,100154.0,TAPSO,10056.0
154,100161.0,FRAY MAMERTO ESQUIU,10063.0
155,100175.0,RECREO,10070.0
156,100168.0,ICANO,10070.0
157,100182.0,PACLIN,10077.0
158,100185.0,MUTQUIN,10084.0
159,100196.0,SAUJIL,10084.0
160,100189.0,POMAN,10084.0
161,100203.0,SAN JOSE,10091.0
162,100210.0,SANTA MARIA,10091.0
163,100213.0,LOS ALTOS,10098.0
164,100217.0,SANTA ROSA,10098.0
165,100231.0,TINOGASTA,10105.0
166,100224.0,FIAMBALA,10105.0
167,100238.0,VALLE VIEJO,10112.0
168,142007.0,AMBOY,14007.0
169,142021.0,CANADA DEL SAUCE,14007.0
170,140049.0,VILLA GENERAL BELGRANO,14007.0
171,140063.0,VILLA RUMIPAL,14007.0
172,140070.0,VILLA YACANTO,14007.0
173,140007.0,EMBALSE,14007.0
174,140014.0,LA CRUZ,14007.0
175,143015.0,LA CUMBRECITA,14007.0
176,142028.0,LAS BAJADAS,14007.0
177,142035.0,LAS CALERAS,14007.0
178,140021.0,LOS CONDORES,14007.0
179,142042.0,LOS MOLINOS,14007.0
180,142049.0,LOS REARTES,14007.0
181,142014.0,CALMAYO,14007.0
182,140028.0,RIO DE LOS SAUCES,14007.0
183,140056.0,SAN AGUSTIN,14007.0
184,142063.0,SAN IGNACIO,14007.0
185,140035.0,SANTA ROSA DE CALAMUCHITA,14007.0
186,142070.0,SEGUNDA USINA,14007.0
187,142084.0,VILLA CIUDAD PARQUE LOS REARTES,14007.0
188,142077.0,VILLA AMANCAY,14007.0
189,140042.0,VILLA DEL DIQUE,14007.0
190,142091.0,VILLA QUILLINZO,14007.0
191,140077.0,CORDOBA,14014.0
192,140084.0,AGUA DE ORO,14021.0
193,140126.0,LA GRANJA,14021.0
194,140147.0,RIO CEBALLOS,14021.0
195,142105.0,EL MANZANO,14021.0
196,140119.0,LA CALERA,14021.0
197,140091.0,COLONIA CAROYA,14021.0
198,140098.0,COLONIA TIROLESA,14021.0
199,142098.0,COLONIA VICENTE AGUERO,14021.0
200,140133.0,MALVINAS ARGENTINAS,14021.0
201,140175.0,VILLA ALLENDE,14021.0
202,142112.0,ESTACION GENERAL PAZ,14021.0
203,140112.0,JESUS MARIA,14021.0
204,140168.0,UNQUILLO,14021.0
205,140140.0,MENDIOLAZA,14021.0
206,142119.0,MI GRANJA,14021.0
207,140154.0,SALDAN,14021.0
208,140161.0,SALSIPUEDES,14021.0
209,142728.0,TINOCO,14021.0
210,142126.0,VILLA CERRO AZUL,14021.0
211,140077.0,CORDOBA,14021.0
212,142133.0,ALTO DE LOS QUEBRACHOS,14028.0
213,142140.0,BANADO DE SOTO,14028.0
214,142147.0,CRUZ DE CANA,14028.0
215,140182.0,CRUZ DEL EJE,14028.0
216,142161.0,GUANACO MUERTO,14028.0
217,142175.0,LA HIGUERA,14028.0
218,142189.0,LAS PLAYAS,14028.0
219,142819.0,LOS CHANARITOS,14028.0
220,142203.0,MEDIA NARANJA,14028.0
221,142217.0,TUCLAME,14028.0
222,140203.0,VILLA DE SOTO,14028.0
223,140217.0,DEL CAMPILLO,14035.0
224,140210.0,BUCHARDO,14035.0
225,140224.0,HUINCA RENANCO,14035.0
226,140231.0,ITALO,14035.0
227,140245.0,MATTALDI,14035.0
228,142224.0,NICOLAS BRUZZONE,14035.0
229,142231.0,ONAGOITY,14035.0
230,142238.0,PINCEN,14035.0
231,142245.0,RANQUELES,14035.0
232,140238.0,JOVITA,14035.0
233,140252.0,VILLA HUIDOBRO,14035.0
234,141120.0,VILLA SARMIENTO (S. A.),14035.0
235,140259.0,VILLA VALERIA,14035.0
236,140273.0,ARROYO CABRAL,14042.0
237,140280.0,AUSONIA,14042.0
238,140294.0,ETRURIA,14042.0
239,140308.0,LA PALESTINA,14042.0
240,140315.0,LA PLAYOSA,14042.0
241,140322.0,LUCA,14042.0
242,140329.0,PASCO,14042.0
243,140336.0,SILVIO PELLICO,14042.0
244,140343.0,TICINO,14042.0
245,140350.0,TIO PUJIO,14042.0
246,140357.0,VILLA MARIA,14042.0
247,140364.0,VILLA NUEVA,14042.0
248,142259.0,AVELLANEDA,14049.0
249,142266.0,CANADA DE RIO PINTO,14049.0
250,142273.0,CHUNA,14049.0
251,140371.0,DEAN FUNES,14049.0
252,142294.0,OLIVARES DE SAN NICOLAS,14049.0
253,142287.0,LOS POZOS,14049.0
254,140378.0,QUILINO,14049.0
255,140385.0,ALEJANDRO ROCA,14056.0
256,142308.0,ASSUNTA,14056.0
257,140392.0,BENGOLEA,14056.0
258,140399.0,CARNERILLO,14056.0
