,operador_id,producto
2078,968,MALBEC 2015
2079,969,VINO
2080,970,VINO
2081,971,VINO
2082,972,VINO
2083,974,AJO
2084,975,VINO
2085,976,CIRUELAS SECAS
2086,977,VINO
2087,979,VINO
2088,980,VINO
2089,981,VINO
2090,982,VINO
2091,983,VINO
2092,984,VINO
2093,985,VINO
2094,986,VINO
2095,987,VINO
2096,988,VINO
2097,989,VINO
2098,990,VINO
2099,991,JUGO DE UVA
2100,992,VINOS
2101,992,ESPUMANTES
2102,993,ACEITUNAS
2103,993,CIRUELAS
2104,993,DAMASCOS
2105,993,NUECES
2106,994,VINO
2107,995,VINO
2108,997,VINO
2109,998,VINO
2110,999,VINO
2111,999,MOSTO
2112,1000,VINO
2113,1001,VINO
2114,1004,VINO
2115,1004,JUGO DE UVA
2116,1005,CIRUELA DESECADA
2117,1007,ESPARRAGOS
2118,1008,VINO
2119,1009,VINO
2120,1010,AJO
2121,1011,CIRUELA DESECADA
2122,1012,VINO
2123,1013,CIRUELAS DESECADAS
2124,1014,VINO
2125,1015,ACEITE DE OLIVA
2126,1016,VINO
2127,1017,JUGO DE UVA CONCENTRADO BLANCO
2128,1018,VINO
2129,1019,VINO
2130,1019,UVAS
2131,1019,ACEITUNAS
2132,1020,YERBA MATE
2133,1021,YERBA MATE
2134,1021,TE
2135,1022,YERBA MATE
2136,1023,YERBA MATE CANCHADA
2137,1023,MOLIDA ENVASADA
2138,1024,MATE COCIDO
2139,1024,YERBA MATE
2140,1024,TE
2141,1025,AZUCAR DE CAï¿½A
2142,1026,YERBA MATE
2143,1027,YERBA MATE
2144,1028,TE
2145,1028,TE SABORIZADO
2146,1028,YERBA MATE
2147,1029,YERBA MATE
2148,1030,YERBA MATE
2149,1031,TE
2150,1034,CEREZAS
2151,1035,PERA
2152,1035,MANZANA
2153,1036,PERA
2154,1036,MANZANA
2155,1037,PERA
2156,1037,MANZANA
2157,1038,JUGO CONCENTRADO DE MANZANA
2158,1038,PERA
2159,1038,AROMAS DE PERA
2160,1038,MANZANA
2161,1038,JUGO CONCENTRADO TURBIO DE PERA
2162,1038,MANZANA
2163,1038,PASTA DE PERA
2164,1038,MANZANA
2165,1039,AROMAS DE  MANZANA
2166,1039,AROMAS DE PERA
2167,1039,JUGO CONCENTRADO DE MANZANA
2168,1039,JUGO CONCENTRADO DE PERA
2169,1040,PERA
2170,1040,MANZANA
2171,1040,CIRUELA
2172,1040,DURAZNO
2173,1041,PERA
2174,1041,CEREZA
2175,1041,ZAPALLO
2176,1041,MANZANA
2177,1041,DURAZNO
2178,1041,CIRUELA
2179,1042,PERA
2180,1042,MANZANA
2181,1043,CEREZA
2182,1044,PERA
2183,1044,MANZANA
2184,1044,CIRUELA
2185,1045,MANZANAS
2186,1045,PERAS
2187,1046,MANZANAS
2188,1046,PERAS
2189,1047,ZAPALLO
2190,1047,MANZANA
2191,1047,PERA
2192,1047,CIRUELA
2193,1047,DURAZNO
2194,1047,NECTARINAS 
2195,1048,MANZANA
2196,1048,PERA
2197,1048,CIRUELA
2198,1048,DURAZNO
2199,1048,NECTARINAS
2200,1049,PULPA
2201,1049,JUGO DE MANZANA
2202,1049, MANZANA DESHIDRATADA
2203,1050,JUGO CONCENTRADO DE PERA
2204,1050,JUGO CONCENTRADO DE MANZANA
2205,1050,SIDRA
2206,1051,PERA
2207,1051,MANZANA
2208,1052,JUGO CONCENTRADO DE PERA
2209,1052,MANZANA
2210,1053,PERAS
2211,1053,MANZANAS
2212,1054,MANZANAS
2213,1054,PERAS
2214,1055,PERAS
2215,1055,MANZANAS
2216,1056,MANZANAS
2217,1056,PERAS
2218,1057,PERA
2219,1057,MANZANA
2220,1057,CIRUELA
2221,1057,DURAZNO 
2222,1058,PERA
2223,1058,MANZANA
2224,1058,CIRUELA.
2225,1059,PERA
2226,1059,MANZANA
2227,1059,CIRUELA
2228,1059,DURAZNO
2229,1060,PERA
2230,1060,MANZANA
2231,1060,CIRUELA 
2232,1061,PERA
2233,1063,NUECES
2234,1063,NUEZ SECA PELADA
