razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
LA DELICIOSA S.A.,AIVEN,58035070,1,1,1,FRUTICULTURA
LA DELICIOSA S.A.,DON GREGORIO,58035070,1,1,1,FRUTICULTURA
LA DELICIOSA S.A.,DOï¿½A PEPA,58035070,1,1,1,FRUTICULTURA
"RETAMAL FERNANDEZ, JOSE E.","CHACRA ""EPUYEN""",58035070,1,1,1,FRUTICULTURA
DELLA GASPERA ALDO,LA CASA,58035070,1,1,1,FRUTICULTURA
GONZALEZ ALDO DONATO,GONZALEZ ALDO DONATO,58035070,1,1,1,FRUTICULTURA
"GREGORIO, NUMO Y NOEL WERTHEIN SA ","GREGORIO, NUMO Y NOEL WERTHEIN SA  1",58035100,10,1,2,EMPAQUE DE FRUTAS NO CITRICAS
JUGOS DEL SUR S.A.,JUGOS DEL SUR S.A. 2,58035100,10,1,2,ELABORACION
COOPERATIVA FRUTICOLA DE NEUQUEN LTDA.,COOPERATIVA FRUTICOLA DE NEUQUEN LTDA. 1,58035100,10,1,2,EMPAQUE DE FRUTAS NO CITRICAS
QUANTUM S.R.L.,CHACRA A-365,62007090,1,3,1,FRUTICULTURA
QUANTUM S.R.L.,CHACRA A-366,62007090,1,3,1,FRUTICULTURA
QUANTUM S.R.L.,QUANTUM S.R.L. 1,62007090,10,3,2,"SECADO, PELADO, ENVASADO Y ALMACENAMIENTO"
LA CONQUISTA SRL,LA CONQUISTA SRL 1,62014030,10,1,2,EMPAQUE FRUTAS NO CITRICAS
EXPOFRUT ARGENTINA S.A.,EXPOFRUT ARGENTINA S.A. 1,62014070,10,3,2,EMPAQUE DE FRUTAS NO CITRICAS
FLORES NORPATAGONICAS S.R.L.,FLORES NORPATAGONICAS S.R.L. 1,62021060,10,3,2,ELABORACION DE ACEITE DE ROSA MOSQUETA
ORGANICOS LA MARGARITA S.R.L.,LA MARGARITA,62035030,1,3,1,FRUTICULTURA
ORGANICOS LM S.R.L.,ORGANICOS LM S.R.L. 1,62035030,10,3,2,EMPAQUE Y FRIO
LA ANGOSTURA S.R.L.,LA ANGOSTURA,62035030,1,2,1,GANADERIA
LABARRIERE JEAN LOUIS,EL GALPON Y EL DESAGï¿½E,62035080,1,3,1,FRUTICULTURA
PAKSERVI S.R.L.,MORYMAR,62035080,1,3,1,FRUTICULTURA
SARALEGUY SANDRO SERGIO,SARA,62035080,1,3,1,FRUTICULTURA
SARALEGUY SANDRO SERGIO,SARALEGUY SANDRO SERGIO 1,62035080,10,3,2,EMPAQUE Y FRIO
SARALEGUY SANDRO SERGIO,COSTA SUR ,62035080,1,3,1,FRUTICULTURA
BIOFERT S.R.L.,BIOFERT S.R.L. 1,62035080,10,3,2,EMPAQUE DE FRUTAS NO CITRICAS
GARCIA MARIA NELIDA,CHACRA 48,62042010,1,2,1,FRUTICULTURA/HORTICULTURA
LOZANO S.R.L.,DON DANIEL,62042010,1,3,1,FRUTICULTURA
LAMPERTI HNOS S.R.L.,LAMPERTI HNOS S.R.L. 1,62042010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA CHICHINALES,62042380,1,3,1,FRUTICULTURA
GALERA EMETERIO,LOTE 4D,62042380,1,3,1,FRUTICULTURA
VALTIERRA S.A.,DON GILBERTO,62042380,1,3,1,FRUTICULTURA
INTERRUPCION S.A.,SECCION SEGUNDA,62042390,1,2,1,FRUTICULTURA/HORTICULTURA
JAVIER LEGASPI,EL CAPRICHO,62042390,1,4,1,AGRICULTURA
LOZANO S.R.L.,DON ADOLFO,62042390,1,3,1,FRUTICULTURA
SAN JOSE S.A.,DOï¿½A FELICITA,62042390,1,3,1,FRUTICULTURA
SANCHEZ JOSE LUIS ,LOS PICANTES,62042390,1,2,1,FRUTICULTURA/HORTICULTURA
LOZANO S.R.L.,LOZANO S.R.L. 1,62042390,10,3,2,EMPAQUE DE FRUTAS NO CITRICAS
SAN JOSE S.A.,SAN JOSE,62042390,1,3,1,FRUTICULTURA
ESTABLECIMIENTO SANTA MARIA S.R.L.,ESTABLECIMIENTO SANTA MARIA SRL,62042400,1,1,1,FRUTICULTURA
"MARTIN, OSCAR ALFREDO",EL SAUCE,62042400,1,1,1,FRUTICULTURA
"MARTIN, OSCAR ALFREDO",GRANDE,62042400,1,1,1,FRUTICULTURA
SANCHEZ PEDRO Y OMAR SH ,SANCHEZ PEDRO Y OMAR SH,62042400,1,1,1,FRUTICULTURA
"GREGORIO, NUMO Y NOEL WERTHEIN SA ","GREGORIO, NUMO Y NOEL WERTHEIN SA  2",62042400,10,1,2,ELABORACION DE MANZANA Y PERA DEHIDRATADA
ECOFRUT S.A.,ECOFRUT S.A. 1,62042400,45,3,3,
MOSCHINI ANDRES ALBERTO,LA COLORADA,62042450,1,3,1,FRUTICULTURA
PATAGONIAN FRUITS TRADE SA,PATAGONIAN FRUITS TRADE SA 4,62042450,10,1,2,EMPAQUE DE FRUTAS NO CITRICAS
MOSCHINI ANDRES ALBERTO,AMPARITO,62042450,1,3,1,FRUTICULTURA
SKUBIC MIGUEL GREGORIO ,AUSTRALIS VINAGRAD,62042480,1,3,1,FRUTICULTURA
JUGOS LUGA S.A.,JUGOS LUGA S.A. 1,62042480,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
ROSAUER JUAN ERICH,ZOILO S.A.,62042550,1,3,1,FRUTICULTURA
ROSAUER JUAN ROBERTO LUIS,CONTRATO LAR/JUAN ROBERTO LUIS ROSAUER (EX COMODATO....),62042550,1,3,1,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA ABEL,62042560,1,3,1,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA RAFIN,62042560,1,3,1,FRUTICULTURA
PATAGONIAN FRUITS TRADE SA,PATAGONIAN FRUITS TRADE SA 3,62042560,10,1,2,FRIGORIFICOS PARA  FRUTAS
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA MITRE,62042560,1,3,1,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA MARCELO,62042560,1,3,1,FRUTICULTURA
JUGOS SA,JUGOS SA 1,62042560,10,1,2,ALMACENAMIENTO Y FRIO PARA FRUTAS NO CITRICAS
AGRICO.AR S.A.,AGRICO.AR S.A.,62063020,1,1,1,FRUTICULTURA
AGRICO.AR S.A.,AGRICO.AR S.A. 1,62063020,10,1,2,EMPAQUE Y FRIGORIFICO DE FRUTAS NO CITRICAS
COMPAï¿½IA DE TIERRAS SUD ARGENTINO SA,ESTANCIA PILCANIYEU Y SAN PEDRO,62070060,1,1,1,GANADERIA
CANESSA HNAS,RAYHUAO,62070060,1,2,1,GANADERIA
SAINT ANTONIN - NAZAR S.H.,ANECON GRANDE,62091020,1,2,1,GANADERIA
ECO AGROPECUARIA SA,ECO AGROPECUARIA SA 1,66007040,52,1,2,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
ECO AGROPECUARIA SA,SANTA MAGDALENA II,66007090,1,1,1,AGRICULTURA
HESS FAMILY LATIN AMERICA S.A.,FINCA EL ARENAL,66014010,45,3,1,
ALTURA MAXIMA S.A.,RIO BLANCO,66014020,1,3,1,AGRICULTURA
BODEGAS NANNI S.A.,SAN JOSE DE CHIMPA,66021010,1,1,1,FRUTICULTURA
PEï¿½AVID SA,EL TRANSITO,66021010,1,1,1,FRUTICULTURA
BODEGAS NANNI S.A.,BODEGAS NANNI S.A. 1,66021010,11,1,2,BODEGA VITIVINICOLA
GRUPO PEï¿½AFLOR SA ,GRUPO PEï¿½AFLOR SA  3,66021010,11,1,2,BODEGA VITIVINICOLA. ELABORACION DE MOSTO CONCENTRADO DE UVAS 
STUTZ RICARDO OSVALDO,LA CHIMPEï¿½A,66021010,1,2,1,FRUTICULTURA/HORTICULTURA
ALQUIMIA ARGENTINA SH,ALQUIMIA ARGENTINA SH 1,66028050,45,4,3,
ECO FOOD SRL,ECO FOOD SRL 2,66028050,45,4,3,
MISKA S.A,MISKA S.A 1,66028050,45,4,3,
RODRIGUEZ NOCETTI S.R.L.,RODRIGUEZ NOCETTI S.R.L. 1,66028050,45,2,3,
ECO FOOD SRL,ECO FOOD SRL 1,66028050,10,4,2,PROCESAMIENTO DE CEREALES Y OLEAGINOSAS.
LOS CHARITOS S.R.L.,LOS CHARITOS S.R.L. 1,66028050,45,2,3,
DMC AGROINDUSTRIAL SRL,DMC AGROINDUSTRIAL SRL 1,66035010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
PALMIRA S.A.,FINCA CALVIMONTE,66042020,1,2,1,AGRICULTURA
EMAISA S.A.,FINCA SAN CARLOS,66049010,1,2,1,AGRICULTURA
PROSAL S.A.,PROSAL S.A. 2,66049010,10,2,2,PROCESAMIENTO CULTIVOS INDUSTRIALES
"COOPERATIVA DE PROVISION DE SERVICIOS PARA PRODUCTORES RURALES ""LA ESCONDIDA LTDA"".",FINCA IBAï¿½EZ,66056090,1,2,1,AGRICULTURA
ESTANCIA PAMPA GRANDE S.A.A Y C,PAMPA GRANDE,66063010,1,3,1,GANADERIA/FRUTICULTURA
ALQUIMIA ARGENTINA SH,LA ARMONIA,66112040,1,4,1,AGRICULTURA
TERMINAL DE CARGAS AEREAS SA,MIRAFLORES,66112040,1,1,1,AGRICULTURA
TREVISAN AGROPECUARIA SRL,SAN JOSE DE ORQUERA,66112080,1,2,1,AGRICULTURA
