razon_social,establecimiento,localidad_id,clae2,certificadora_id,categoria_id,rubro
CITROMAX S.A.C.I,CITROMAX S.A.C.I 1,90070010,10,3,2,INDUSTRIALIZACION DE LIMON
CITROMAX S.A.C.I,CITROMAX S.A.C.I 2,90070010,10,3,2,EMPAQUE DE PRODUCTOS DE LIMON
CITROMAX SACI,CITROMAX SACI 2,90070010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
NURISTAN S.A.,NURISTAN S.A. 1,90070010,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
NURISTAN S.A.,NURISTAN,90070010,1,2,1,FRUTICULTURA/HORTICULTURA
BERRIES DEL ACONQUIJA SA.,FINCA LOMA LINDA,90070030,1,2,1,FRUTICULTURA/HORTICULTURA
FINCAZUL S.A.,FINCA DON D,90070030,1,2,1,FRUTICULTURA/HORTICULTURA
TIERRA DE BERRIES S.A.,TIERRA DE BERRIES,90070030,1,2,1,FRUTICULTURA/HORTICULTURA
AGRICOLA MARES S.A.,AGRICOLA MARES S.A. 1,90070030,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
FINCAZUL S.A.,FINCAZUL S.A. 1,90070030,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
TIERRA DE ARANDANOS SRL.,TIERRA DE ARANDANOS SRL. 1,90070030,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
AGRICOLA MARES S.A.,FINCA LOS JAZMINES,90070030,1,2,1,FRUTICULTURA/HORTICULTURA
LOS ALTOS S.A.,ROSA,90070080,1,3,1,FRUTICULTURA
KINGBERRY S.A.,KINGBERRY S.A. 1,90070080,10,2,2,PROCESAMIENTO FRUTALES Y HORTALIZAS
MOYCO SRL,MOYCO SRL 1,90077010,45,2,3,
CATASUS ANCHORENA ANDRES RAMON,CATASUS ANCHORENA ANDRES RAMON 1,90084010,45,2,3,
DUCK BABY S.R.L.,DUCK BABY S.R.L. 1,90084010,45,2,3,
FUTURE FIRE S.A.,FUTURE FIRE S.A. 1,90084010,45,2,3,
TERMINAL DE CARGAS AEREAS SA,TERMINAL DE CARGAS AEREAS SA 1,90084010,45,1,3,
CARRIZO ARQUIMEDES R.T.,CARRIZO ARQUIMEDES R.T. 1,90084010,45,2,3,
IMPORTADORA DEL CARMEN S.A.,IMPORTADORA DEL CARMEN S.A. 1,90084010,10,2,2,PROCESAMIENTO CEREALES Y OLEAGINOSAS
ICEBERG AGRICOLA S.A.,CULTIVOS ANDINOS,90105080,1,2,1,FRUTICULTURA/HORTICULTURA
PACTA S.R.L.,PACTA S.R.L. 1,90119030,45,2,3,
EL MADERO S.R.L.,EL MADERO,90119030,1,2,1,FRUTICULTURA/HORTICULTURA
ESTANCIA MARIA BEHETY S.A.,MARIA BEHETY,94008010,1,2,1,GANADERIA
ESTANCIAS SARA BRAUN S.A.,ESTANCIA SARA,94008010,1,2,1,GANADERIA
LA JUCIELA S.A.,ESTANCIA SAN JULIO,94008010,1,2,1,GANADERIA
